username,completed,ExpSalTot,histExpSalTot,ExpNonSalTot,histExpNonSalTot,Deprec,histDeprec,HitHNBeds,histHitHNBeds,AdmiNBeds,histAdmiNBeds,MHCareDays,histMHCareDays,NSeps,histNSeps,StdsReviewSt,comments_admi,action_required_start_setting_1,AdmiId,AdmiName,AdmiOccupancyRange,AdmiOccupancyRangeCA,considered_complete,fin_year,histHITHNBeds,histLHNID,histStdsReviewSt,HITHNBeds,HospId,known-warning,LHNID,OrgId,org_session_key,parent_session_key,ProgType,RecType,RegId,State,TargetPop,timestamp,page,path,scope_stack,session_key
MHCWA,,,,,,,,,,10.0,10.0,3540,3540,140,140,1.0,,,300999,"STAGING HOSPITAL OLDER PERSONS MENTAL HEALTH INPATIENT UNIT",,,,2024/25,0.0,599,,0.0,999,,599,99,4777614a-823c-11f0-baa5-cb1fbacaedf7,47777e1d-823c-11f0-baa5-d78f9199acfc,1,ADMI,99,5,2,,,,,4777c7be-823c-11f0-baa5-a6992e6748f9
MHCWA,,,,,,,,,,9.9,9.9,3610,3610,150,150,1.0,,,220999,"STAGING HOSPITAL ADULT OTHER MENTAL HEALTH INPATIENT UNIT",,,,2024/25,0.0,599,,0.0,999,,599,99,4777614a-823c-11f0-baa5-cb1fbacaedf7,47777e1d-823c-11f0-baa5-d78f9199acfc,2,ADMI,99,5,4,,,,,4777c76f-823c-11f0-baa5-876a3ab026cf
MHCWA,,,,,,,,,,20.0,20.0,10010,10010,900,900,1.0,,,210999,"STAGING HOSPITAL ADULT ACUTE MENTAL HEALTH INPATIENT UNIT",,,,2024/25,9.6,599,,9.6,999,,599,99,4777614a-823c-11f0-baa5-cb1fbacaedf7,47777e1d-823c-11f0-baa5-d78f9199acfc,1,ADMI,99,5,4,,,,,4777c71e-823c-11f0-baa5-d1ca30549379
MHCWA,,,,,,,,,,10.0,10.0,3540,3540,140,140,1.0,,,300998,"TRAINING HOSPITAL OLDER PERSONS MENTAL HEALTH INPATIENT UNIT",96.7213114754098,,,2024/25,0.0,599,,0.0,998,,599,98,47776117-823c-11f0-baa5-d1724e3e5729,47777de1-823c-11f0-baa5-9581673460c1,1,ADMI,98,5,2,,,,,4777c6d0-823c-11f0-baa5-843d0b25339b
MHCWA,,,,,,,,,,9.9,9.9,3610,3610,150,150,1.0,,,220998,"TRAINING HOSPITAL ADULT OTHER MENTAL HEALTH INPATIENT UNIT",99.6301815973947,,,2024/25,0.0,599,,0.0,998,,599,98,47776117-823c-11f0-baa5-d1724e3e5729,47777de1-823c-11f0-baa5-9581673460c1,2,ADMI,98,5,4,,,,,4777c67e-823c-11f0-baa5-e740c7b98ee6
MHCWA,,,,,,,,,,20.0,20.0,10010,10010,900,900,1.0,,,210998,"TRAINING HOSPITAL ADULT ACUTE MENTAL HEALTH INPATIENT UNIT",136.748633879781,,,2024/25,9.6,599,,9.6,998,"{'start' => {'occupancy' => {'OccupancyRate' => {'rule_content' => 'Inpatient occupancy is low.','action' => 'add','component' => 'admi','slot_name' => 'occupancy','meteor_short_name' => '','page_name' => 'start','rule' => 'OccupancyRate','sort_index' => 0}}}}",599,98,47776117-823c-11f0-baa5-d1724e3e5729,47777de1-823c-11f0-baa5-9581673460c1,1,ADMI,98,5,4,"{'start' => 1757473891}",start,['start'],,4777c639-823c-11f0-baa5-fbc498f70b46
MHCWA,,3119462,3752276,1292674,1254620,13793,6111,0,,20,20,5855,5925,234,206,1,"Reduction in salaries and wages due to Diagnostic staff (Allied Health) being transferred to Bentley, as Allied Health staff consolidated under Allied Health governance. No methodology to split costs has been developed yet",0,220400,"ST JAMES TRANSITIONAL CARE ADULT OTHER MENTAL HEALTH INPATIENT UNIT",80.9426229508197,,1761878176,2024/25,0.0,504,4,0.0,400,{},504,44,4777604f-823c-11f0-baa5-ac7f79b066e1,47777d60-823c-11f0-baa5-918d3d3ffe7a,2,ADMI,28,5,4,"{'start' => 1761877830}",start,,,4777c5e8-823c-11f0-baa5-e1b3f217e301
MHCWA,,3119462,3752277,1292674,1254621,13793,6111,0,,20,20,5062,4475,317,291,1,"Low occupancy partly due to model of care allowing patients to take leave days over weekends, leave days are not ABF reportable.
Low occupancy also partly due to referral pathways not yet well-established and lack of awareness of admission criteria.

Reduction in salaries and wages due to Diagnostic staff (Allied Health) being transferred to Bentley, as Allied Health staff consolidated under Allied Health governance. No methodology to split costs has been developed yet",0,210400,"ST JAMES TRANSITIONAL CARE ADULT ACUTE MENTAL HEALTH INPATIENT UNIT",61.1338797814208,,1761878145,2024/25,0.0,504,4,0.0,400,"{'start' => {'occupancy' => {'OccupancyRate' => {'sort_index' => 0,'page_name' => 'start','rule' => 'OccupancyRate','component' => 'admi','slot_name' => 'occupancy','meteor_short_name' => '','action' => 'add','rule_content' => 'Inpatient occupancy is low.'}}}}",504,44,4777604f-823c-11f0-baa5-ac7f79b066e1,47777d60-823c-11f0-baa5-918d3d3ffe7a,1,ADMI,28,5,4,"{'start' => 1761878156}",start,['start'],,4777c59a-823c-11f0-baa5-a8d43fa79bb5
MHCWA,,15947650,15839251,4798623,4261628,19140,23677,0,,20,37.4,6412,11442,860,1378,1,"Cost per bed day - Cost profile of Ward 2K remains against Royal Perth Hospital, while activity is against Bentley Hospital while ward temporarily relocated to Bentley",0,200101,"ROYAL PERTH HOSPITAL (RPH) GENERAL MENTAL HEALTH INPATIENT UNIT",83.5890242833348,,1761881199,2024/25,0.0,504,1,0.0,101,"{'start' => {'avg-patient-bed-day-cost' => {'AdmiAvgPatientDayRange' => {'meteor_short_name' => '','slot_name' => 'avg-patient-bed-day-cost','component' => 'admi','action' => 'add','sort_index' => 1,'rule' => 'AdmiAvgPatientDayRange','page_name' => 'start','rule_content' => 'General/adult cost per bed day is outside the national range.'}}}}",504,26,4777601d-823c-11f0-baa5-ae85faa674cc,47777bec-823c-11f0-baa5-e5aa18383511,1,ADMI,28,5,4,"{'start' => 1761881184}",start,,,4777c552-823c-11f0-baa5-86f0ff3e1e76
MHCWA,,5988133,6122952,1701846,1458757,5286,4815,0,,11.6,11.7,3287,3737,346,286,1,"Increased usage of outsourced security due to high acuity patients, to mitigate risks associated with high levels of aggression

Lower occupancy is due to agreement with Corrective Services to accept patient from Banksia Hill detention centre. Highly aggressive patients requiring quarantining of 3 beds for single patient. 

Lower occupancy also due to lower voluntary and low acuity patients due to opening of new Joondalup youth mental health facility, also increasing average acuity of Bentley Youth Unit",0,400255,"BENTLEY HOSPITAL YOUTH MENTAL HEALTH INPATIENT UNIT",87.2682266124889,,1761882473,2024/25,0.0,504,1,0.0,255,"{'start' => {'occupancy' => {'OccupancyRate' => {'rule_content' => 'Inpatient occupancy is low.','sort_index' => 0,'rule' => 'OccupancyRate','page_name' => 'start','meteor_short_name' => '','component' => 'admi','slot_name' => 'occupancy','action' => 'add'}},'avg-patient-bed-day-cost' => {'AdmiAvgPatientDayRange' => {'rule_content' => 'Youth cost per bed day is outside the national range.','action' => 'add','component' => 'admi','slot_name' => 'avg-patient-bed-day-cost','meteor_short_name' => '','page_name' => 'start','rule' => 'AdmiAvgPatientDayRange','sort_index' => 1}}}}",504,2,47775feb-823c-11f0-baa5-c463920ffd65,4777787d-823c-11f0-baa5-860b2649031a,1,ADMI,28,5,5,"{'start' => 1761881956}",start,,,4777c503-823c-11f0-baa5-982d0b6d98d1
